feature,gini_importance
emb_126,2.683269949625151e-05
emb_57,2.5532798096809213e-05
emb_498,2.548073743659705e-05
emb_354,2.4447159804733684e-05
emb_124,2.406970557356168e-05
emb_169,2.3200721133137093e-05
emb_486,2.2830479411700808e-05
emb_268,2.2443957227076312e-05
emb_253,2.1917348912507702e-05
emb_191,2.1757772885327775e-05
emb_489,2.1354691170705056e-05
emb_89,1.995408387379794e-05
emb_67,1.905709044506101e-05
emb_332,1.8508154862627672e-05
emb_296,1.750934505890536e-05
emb_241,1.7049670066558157e-05
emb_179,1.675909831077627e-05
emb_499,1.6656541629916544e-05
emb_104,1.5856506932422243e-05
emb_471,1.5814357245421255e-05
emb_39,1.5663888383115677e-05
emb_219,1.5137929016336916e-05
emb_336,1.4412470808648834e-05
emb_166,1.2578327928639352e-05
emb_450,8.510021854053631e-06
emb_443,8.197648466463838e-06
emb_412,7.924055553333129e-06
emb_344,5.830709997323224e-06
emb_493,5.413886372236231e-06
emb_338,4.515651144607648e-06
emb_233,4.0212830215416675e-06
emb_28,3.892466635834729e-06
emb_22,3.6961401893225223e-06
emb_503,3.3243748811757353e-06
emb_14,3.0869041094956752e-06
emb_505,2.759665600866669e-06
emb_148,1.3570506635116932e-06
emb_316,1.2797414485460373e-06
emb_317,8.088312248666874e-07
emb_385,4.642060347514375e-07
emb_488,9.354027967072303e-08
emb_202,1.2428103421681187e-08
