feature,perm_macro_f1_drop_mean,perm_macro_f1_drop_std
emb_285,0.0007620026828320858,0.0003526214906601815
emb_417,0.000752222447113704,0.0003160737958793931
emb_500,0.0007515738876176181,0.0002759379398393702
emb_357,0.0007438948274084867,0.0005715908646274733
emb_426,0.000728587165990735,0.0004707314201491822
emb_227,0.0007208457328057083,0.00021760815242768773
emb_81,0.0007126612261299181,0.000467051231320601
emb_445,0.000706384620978806,0.0003226565303274152
emb_182,0.000695941989058424,0.0004621361247694378
emb_509,0.0006848965361658799,0.00036511903805790927
emb_295,0.0006653525517411385,0.0004570744160061054
emb_237,0.0006526163063943046,0.0006562265811008088
emb_174,0.0006310922521272966,0.0003099783884907798
emb_260,0.0006080127698099736,0.0005192879334498465
emb_393,0.000594149699464075,0.00047485497481283606
emb_340,0.0005923082928914302,0.0012344593053716648
emb_24,0.0005907522071304294,0.0009036367931931315
emb_290,0.0005892166726066073,0.0005680492241963301
emb_329,0.0005715577595529542,0.00033425818045521564
emb_196,0.0005705209781583064,0.00108512425800711
emb_99,0.000560150517343283,0.0007204878759985001
emb_108,0.0005464503865132642,0.0003063090519238309
emb_337,0.0005449253831927737,0.00048409795155117245
emb_492,0.0005426561557751785,0.000540619345982719
emb_451,0.0005365908278930131,0.00023196679865471613
emb_351,0.0005160930376177264,0.00037802310670360576
emb_38,0.0005078529571110657,0.0006612109835681199
emb_26,0.0005033182479249554,0.00038170561058738673
emb_3,0.0005000071459908328,0.00031934084305109767
emb_229,0.00046633684844779035,0.00014153118715823888
emb_142,0.00045927484745493795,0.0003862276702847624
emb_428,0.0004481214017553636,0.0002933907319094245
emb_460,0.00043251490910485303,0.0005239555637968795
emb_287,0.0004018566926966338,0.0005466477009690014
emb_435,0.00039282939388727287,6.25425834525021e-05
emb_383,0.0003811128488916182,0.00024032955394061574
emb_497,0.0003693547307296541,0.00040428718187166473
emb_68,0.0003693428148315636,0.0001871004116622177
emb_16,0.00036845733065942187,0.00026620354992997814
emb_35,0.0003675833450104138,0.0008267649155737365
emb_154,0.0003628317968918049,0.000351494200439636
emb_382,0.0003625694725574835,0.00019628551155414167
emb_439,0.00035542730986932726,0.000487100622336465
emb_375,0.00034273566385456533,0.00037068619322460657
emb_221,0.00033750232401088545,0.00027840575547078875
emb_406,0.00033193223051959376,0.0003052833734256654
emb_64,0.00033004921225785464,0.0003595587992969087
emb_189,0.00032835186652278023,0.00014498694974987702
emb_244,0.00032499788048054865,0.00045029874322169314
emb_467,0.00032386969540056933,0.0005859985231912011
emb_461,0.0003129733863112438,0.00032430372859062106
emb_481,0.0003126945737121023,0.00020602626754283093
emb_231,0.00031132529557202914,0.0002911462692021672
emb_12,0.0003097631164652004,0.00023509184572066054
emb_372,0.00030963632970957276,0.00046081659449985745
emb_484,0.00030953828719926246,0.0005988989755535059
emb_423,0.0003090466983778128,0.00017406520277903268
emb_146,0.0003071410339403835,0.0003729464703188625
emb_318,0.00030678455533323935,0.0003628686817199605
emb_122,0.0002928984329923168,0.0003716342296505258
emb_294,0.00029201595205758936,0.00026167711308102657
emb_118,0.00028917203712197637,0.0002574439959375164
emb_263,0.00028774804436244584,0.0004413274860180176
emb_430,0.0002764343508258937,0.0002005855669621195
emb_476,0.0002744758189999752,0.0008826830093891214
emb_325,0.00027180230678642837,0.0002645649262478026
emb_366,0.00026972466703671926,0.0004562745433454239
emb_8,0.0002692589594099681,0.0004720337367364907
emb_245,0.0002688286616636004,0.00017387183240649888
emb_377,0.0002678344999802906,0.00039511915519705473
emb_475,0.00024853422374440106,0.0003349036658305648
emb_326,0.0002482541385278259,0.00027318362430223006
emb_462,0.00024306773149727068,0.00020450971612065384
emb_195,0.00022896144702022614,0.0005841636833793327
emb_178,0.00022639201578911194,0.00031792451626458157
emb_73,0.00022589777470130023,0.00034357674140949375
emb_442,0.00021941098194144804,0.00047804956429187275
emb_440,0.00021890840107745556,0.00029146592870340663
emb_180,0.00021466230309707957,0.0003167139103661807
emb_420,0.0002121622449005267,0.0006126760362901257
